key,value,count,percent_of_total_changes_for_key
amenity,veterinary_pharmacy,1,0.0
amenity,village,1,0.0
amenity,warehouse,1,0.0
amenity,watar well,1,0.0
amenity,zamar quicaillerie,1,0.0
amenity,zone residentiel,1,0.0
building,yes,2875330,92.24
building,house,104140,3.34
building,residential,32464,1.04
building,construction,29981,0.96
building,school,21417,0.69
building,apartments,8252,0.26
building,collapsed,7545,0.24
building,commercial,4685,0.15
building,hospital,3328,0.11
building,college,3019,0.1
building,industrial,2569,0.08
building,clinic,2040,0.07
building,church,1849,0.06
building,retail,1248,0.04
building,health_post,1087,0.03
building,detached,1082,0.03
building,hut,981,0.03
building,roof,918,0.03
building,building_concrete,904,0.03
building,tent,899,0.03
building,greenhouse,880,0.03
building,office,765,0.02
building,kindergarten,717,0.02
building,shed,595,0.02
building,shelter,578,0.02
building,non_waterproof_shelter,525,0.02
building,building_sheet_metal,519,0.02
building,collapse,465,0.01
building,service,409,0.01
building,public,404,0.01
building,building_wood,393,0.01
building,hotel,361,0.01
building,residentiel1,359,0.01
building,building,323,0.01
building,terrace,277,0.01
building,waterproof_shelter,260,0.01
building,warehouse,235,0.01
building,university,199,0.01
building,<different>,176,0.01
building,semidetached_house,164,0.01
building,damaged,160,0.01
building,government,155,0.0
building,temple,153,0.0
building,ruins,151,0.0
building,farm_auxiliary,147,0.0
building,services,141,0.0
building,garage,136,0.0
building,garages,116,0.0
building,N/A,104,0.0
building,undefined,97,0.0
building,civic,93,0.0
building,train_station,92,0.0
building,no,89,0.0
building,farm,86,0.0
building,Service,79,0.0
building,health_facility,79,0.0
building,yse,73,0.0
building,brownfield,71,0.0
building,kiosk,70,0.0
building,carport,65,0.0
building,unclassified,64,0.0
building,grandstand,61,0.0
building,barn,56,0.0
building,storage_tank,56,0.0
building,yess,53,0.0
building,ruin,52,0.0
building,chapel,51,0.0
building,bing,46,0.0
building,Tour_Agency,43,0.0
building,Friendship_Hostel,38,0.0
building,bungalow,38,0.0
building,parking,37,0.0
building,cabin,34,0.0
building,hangar,34,0.0
building,Health_Facility,33,0.0
building,tank,33,0.0
building,tole et plastic,31,0.0
building,Metal,29,0.0
building,silo,29,0.0
building,Computer_Consultant,27,0.0
building,yes3,25,0.0
building,tower,24,0.0
building,Construction,23,0.0
building,entrance,23,0.0
building,Travel_Agency,20,0.0
building,Software_Company,18,0.0
building,1,17,0.0
building,cathedral,17,0.0
building,stadium,17,0.0
building,supermarket,17,0.0
building,transformer_tower,16,0.0
building,y,16,0.0
building,Website_Designer,15,0.0
building,Yes,15,0.0
building,bunker,15,0.0
building,static_caravan,15,0.0
building,ys,15,0.0
building,Building,14,0.0
building,Hospital,14,0.0
building,bell_tower,14,0.0
building,Advertising_Agency,13,0.0
building,School,13,0.0
building,YES,13,0.0
building,Bois,12,0.0
