key,value,count,percent_of_total_changes_for_key
name,Couloir Legrand 2,2,0.0242
name,Coulon,2,0.0242
name,Croix de Deprez,2,0.0242
name,Croix-des-Bouquets,2,0.0242
name,CrosbyFund for Haitian Education,2,0.0242
name,Côtes-de-Fer,2,0.0242
name,DGI,2,0.0242
name,Danache,2,0.0242
name,Dasse,2,0.0242
name,De l'Eau Belloteste,2,0.0242
name,Deco,2,0.0242
name,Degand,2,0.0242
name,Delatre,2,0.0242
name,Delauné,2,0.0242
name,Delmar,2,0.0242
name,Delmas 19,2,0.0242
name,Demolisseur Moto,2,0.0242
name,Denard,2,0.0242
name,Dentiste,2,0.0242
