key,count,percent_of_total_changes,percent_difference_from_pre
community:fr,1,0.0,-80.0
contact:mail,1,0.0,-80.0
disusedd:comment,1,0.0,-80.0
drinkable,1,0.0,-80.0
earthquake<.damage,1,0.0,-80.0
fimxe,1,0.0,-80.0
fixme:comment,1,0.0,-80.0
former_refugee,1,0.0,-80.0
former_tourism,1,0.0,-80.0
harbour:type,1,0.0,-80.0
hi,1,0.0,-80.0
humanitarian:obstacle:operationalstatus,1,0.0,-80.0
humanitarian:obstacle:operationalstatusquality,1,0.0,-80.0
imappasble,1,0.0,-80.0
impassable:comment,1,0.0,-80.0
info_date,1,0.0,-80.0
lighthouse,1,0.0,-80.0
nam,1,0.0,-80.0
nature,1,0.0,-83.3333
official_name:en,1,0.0,-96.9697
pid,1,0.0,-80.0
seamark:light:status,1,0.0,-80.0
soruce,1,0.0,-80.0
sources,1,0.0,-80.0
tourism ,1,0.0,-80.0
trees,1,0.0,-95.0
unsure,1,0.0,-80.0
valley,1,0.0,-80.0
wall or way,1,0.0,-80.0
Capacity,1,0.0,-80.0
FIXME:COSMHA,1,0.0,-99.7976
NOTE,1,0.0,-85.7143
OTI_HRI_COSMHA_project,1,0.0,-95.0
OTI_HRI_COSMHA_project:surveyor_name,1,0.0,-92.3077
Structure,1,0.0,-80.0
Surface,1,0.0,-99.5098
TDH_Lausanne,1,0.0,-96.0
_Category_,1,0.0,-80.0
abondoned,1,0.0,-80.0
addr:village,1,0.0,-80.0
agent autorise,1,0.0,-80.0
alimentation electrique,1,0.0,-88.8889
arup,1,0.0,-80.0
atv,1,0.0,-80.0
barrier_bypass,1,0.0,-80.0
base_material,1,0.0,-80.0
bridge_type,1,0.0,-91.6667
capacity_area_building_level_1,1,0.0,-95.4545
capacity_individuals_building_level_2,1,0.0,-92.8571
capacity_water_storage,1,0.0,-87.5
capital:Department,1,0.0,-90.0
damage:note,1,0.0,-80.0
damage_assessment_date,1,0.0,-90.0
education:students,1,0.0,-80.0
evacuation_center,1,0.0,-90.0
hazard,1,0.0,-87.5
hcare_ctc,1,0.0,-87.5
map_quality,1,0.0,-80.0
mayor,1,0.0,-80.0
opening_hours:afternoon,1,0.0,-97.7273
opening_hours:friday,1,0.0,-99.1071
opening_hours:monday,1,0.0,-99.1304
opening_hours:morning,1,0.0,-99.0741
opening_hours:night,1,0.0,-87.5
opening_hours:saturday,1,0.0,-97.1429
opening_hours:sunday,1,0.0,-90.0
opening_hours:thursday,1,0.0,-99.115
opening_hours:tuesday,1,0.0,-99.1228
opening_hours:unspecified,1,0.0,-80.0
opening_hours:wednesday,1,0.0,-99.1228
operating,1,0.0,-80.0
operator_id,1,0.0,-96.875
payment:telephone_cards,1,0.0,-90.9091
photo_name,1,0.0,-83.3333
pitlatrine,1,0.0,-80.0
project:cosmhastm,1,0.0,-94.7368
pump,1,0.0,-99.4819
registry_name,1,0.0,-96.7742
school,1,0.0,-90.9091
school:HT,1,0.0,-99.5536
school:fondamental_first_cycle,1,0.0,-95.0
school:fondamental_second_cycle,1,0.0,-94.4444
school:fondamental_third_cycle,1,0.0,-93.75
school:secondary,1,0.0,-92.3077
school_district,1,0.0,-99.7658
school_type,1,0.0,-99.7947
souce:date,1,0.0,-80.0
source:date=,1,0.0,-80.0
source:old_name,1,0.0,-80.0
survey:date,1,0.0,-94.7368
tidal,1,0.0,-80.0
toilets_access,1,0.0,-80.0
toilets_durability,1,0.0,-80.0
toilets_technology,1,0.0,-80.0
transportation_use_category,1,0.0,-93.3333
tributary,1,0.0,-80.0
water_type,1,0.0,-99.7567
Trail,1,0.0,-80.0
abandoned:amenity,1,0.0,-92.8571
alt_name:ht,1,0.0,-80.0
earthview referenced,1,0.0,-80.0
health_facility:MCH,1,0.0,-80.0
health_facility:access,1,0.0,-80.0
manhole,1,0.0,-96.5517
marker,1,0.0,-80.0
note:landuse,1,0.0,-80.0
source:health_facility:MCH,1,0.0,-80.0
source:health_facility:access,1,0.0,-80.0
trail,1,0.0,-80.0
tree,1,0.0,-80.0
    idp:source_20150503,1,0.0,-80.0
AND_a_nosr_p,1,0.0,-80.0
Attribute,1,0.0,-80.0
Building:Area,1,0.0,-80.0
Camp,1,0.0,-80.0
Cantilever,1,0.0,-94.1176
Damage:event,1,0.0,-80.0
Dist_name,1,0.0,-80.0
Engin_Noneng,1,0.0,-94.1176
ExpansionJoint,1,0.0,-94.1176
HR:DM,1,0.0,-95.2381
HR:FA,1,0.0,-96.0
Hotel Country Villa,1,0.0,-80.0
House name,1,0.0,-83.3333
House_type,1,0.0,-94.1176
Household code,1,0.0,-99.8158
Identification Code,1,0.0,-98.5075
Identification Code By,1,0.0,-97.8261
Idp:camp_site,1,0.0,-80.0
Landuse,1,0.0,-80.0
NarayanSthan Temple,1,0.0,-80.0
Natural,1,0.0,-80.0
Parlour,1,0.0,-85.7143
Physical_condition,1,0.0,-94.1176
Pounding_Poss,1,0.0,-94.1176
River,1,0.0,-80.0
ShortColumn,1,0.0,-94.1176
Sor,1,0.0,-80.0
Status,1,0.0,-80.0
VDC,1,0.0,-80.0
Visible_GroundSettlemt,1,0.0,-94.1176
Ward no,1,0.0,-80.0
Waterway,1,0.0,-80.0
addr:place,1,0.0,-96.6667
adoption_barrier_tech,1,0.0,-97.5
alt,1,0.0,-99.932
alt_name:ne,1,0.0,-80.0
amage:event,1,0.0,-80.0
aquaculture,1,0.0,-80.0
are,1,0.0,-80.0
art:type,1,0.0,-85.7143
b,1,0.0,-80.0
backcountry,1,0.0,-83.3333
boundary_1,1,0.0,-80.0
bridge:name:en,1,0.0,-83.3333
bridge=suspension,1,0.0,-80.0
brownfield:source,1,0.0,-80.0
building:condition,1,0.0,-80.0
building:owner,1,0.0,-80.0
building:type,1,0.0,-80.0
capital_city,1,0.0,-96.875
construction_date,1,0.0,-80.0
country_code_fips,1,0.0,-97.561
country_code_iso3166_1_alpha_2,1,0.0,-97.561
damage: event,1,0.0,-80.0
damage:source_20150514,1,0.0,-80.0
damageevent,1,0.0,-80.0
demage:event,1,0.0,-80.0
demolished:highway,1,0.0,-80.0
disabled,1,0.0,-94.7368
district,1,0.0,-80.0
drive_in,1,0.0,-80.0
dryport,1,0.0,-80.0
drystream,1,0.0,-80.0
earthquake damage,1,0.0,-80.0
education:boarding,1,0.0,-80.0
elevation,1,0.0,-80.0
fixme:natural,1,0.0,-80.0
fixmw,1,0.0,-80.0
geonames:id,1,0.0,-83.3333
hazard_intensity,1,0.0,-80.0
hazard_occurence,1,0.0,-80.0
hazard_occurence_time,1,0.0,-80.0
hazard_return_period,1,0.0,-80.0
hide,1,0.0,-80.0
highway=path,1,0.0,-80.0
hotel,1,0.0,-83.3333
id:camp_site,1,0.0,-80.0
idp: camp_site,1,0.0,-80.0
idp:comp_site,1,0.0,-80.0
idp:status_20150512,1,0.0,-80.0
indoor:area,1,0.0,-98.9362
indoor:level,1,0.0,-99.187
kVA,1,0.0,-80.0
kiln:type,1,0.0,-80.0
landuseb,1,0.0,-80.0
laye,1,0.0,-80.0
levels,1,0.0,-95.2381
livestock,1,0.0,-85.7143
livestock:fish,1,0.0,-94.1176
name:ace,1,0.0,-83.3333
name:ak,1,0.0,-83.3333
name:als,1,0.0,-83.3333
name:arz,1,0.0,-83.3333
name:as,1,0.0,-83.3333
name:ast,1,0.0,-83.3333
name:ba,1,0.0,-83.3333
name:bar,1,0.0,-83.3333
name:bcl,1,0.0,-83.3333
name:bjn,1,0.0,-83.3333
name:bm,1,0.0,-83.3333
name:bpy,1,0.0,-83.3333
name:br,1,0.0,-96.1538
name:bxr,1,0.0,-83.3333
name:ce,1,0.0,-83.3333
name:ceb,1,0.0,-83.3333
name:chr,1,0.0,-83.3333
name:crh,1,0.0,-83.3333
name:csb,1,0.0,-83.3333
name:cv,1,0.0,-83.3333
name:cy,1,0.0,-83.3333
name:diq,1,0.0,-83.3333
name:dv,1,0.0,-83.3333
name:dz,1,0.0,-83.3333
name:ee,1,0.0,-83.3333
name:ext,1,0.0,-83.3333
name:ff,1,0.0,-83.3333
name:fi,1,0.0,-96.5517
name:fiu-vro,1,0.0,-83.3333
name:fo,1,0.0,-83.3333
name:frp,1,0.0,-83.3333
name:ga,1,0.0,-92.3077
name:gag,1,0.0,-83.3333
name:gd,1,0.0,-83.3333
name:gv,1,0.0,-83.3333
name:ha,1,0.0,-83.3333
name:hak,1,0.0,-83.3333
name:haw,1,0.0,-83.3333
name:hif,1,0.0,-83.3333
name:ia,1,0.0,-83.3333
name:id,1,0.0,-83.3333
name:ie,1,0.0,-83.3333
name:ilo,1,0.0,-83.3333
name:jbo,1,0.0,-83.3333
name:jv,1,0.0,-83.3333
name:kab,1,0.0,-83.3333
name:ki,1,0.0,-83.3333
name:kl,1,0.0,-83.3333
name:km,1,0.0,-83.3333
name:krc,1,0.0,-83.3333
name:ks,1,0.0,-83.3333
name:ksh,1,0.0,-83.3333
name:ku,1,0.0,-83.3333
name:kv,1,0.0,-83.3333
name:kw,1,0.0,-83.3333
name:ky,1,0.0,-83.3333
name:la,1,0.0,-93.75
name:lez,1,0.0,-83.3333
name:lg,1,0.0,-83.3333
name:li,1,0.0,-96.0
name:lmo,1,0.0,-83.3333
name:ln,1,0.0,-83.3333
name:lo,1,0.0,-83.3333
name:mg,1,0.0,-83.3333
name:ms,1,0.0,-83.3333
name:my,1,0.0,-83.3333
name:mzn,1,0.0,-83.3333
name:na,1,0.0,-83.3333
name:nah,1,0.0,-83.3333
name:nds,1,0.0,-83.3333
name:nv,1,0.0,-83.3333
name:or,1,0.0,-83.3333
name:pa,1,0.0,-83.3333
name:pam,1,0.0,-83.3333
name:pap,1,0.0,-87.5
name:pi,1,0.0,-83.3333
name:pih,1,0.0,-83.3333
name:pms,1,0.0,-83.3333
name:ps,1,0.0,-83.3333
name:qu,1,0.0,-87.5
name:rn,1,0.0,-83.3333
name:ro,1,0.0,-83.3333
name:rw,1,0.0,-83.3333
name:sah,1,0.0,-87.5
name:scn,1,0.0,-83.3333
name:sco,1,0.0,-83.3333
name:sd,1,0.0,-83.3333
name:se,1,0.0,-83.3333
name:sg,1,0.0,-83.3333
name:simple,1,0.0,-83.3333
name:so,1,0.0,-83.3333
name:sq,1,0.0,-83.3333
name:ss,1,0.0,-80.0
name:su,1,0.0,-83.3333
name:sw,1,0.0,-83.3333
name:szl,1,0.0,-83.3333
name:te,1,0.0,-83.3333
name:ti,1,0.0,-83.3333
name:tk,1,0.0,-83.3333
name:tl,1,0.0,-83.3333
name:to,1,0.0,-83.3333
name:tt,1,0.0,-83.3333
name:tw,1,0.0,-83.3333
name:udm,1,0.0,-83.3333
name:uz,1,0.0,-83.3333
name:vec,1,0.0,-83.3333
name:war,1,0.0,-83.3333
name:wo,1,0.0,-83.3333
name:wuu,1,0.0,-83.3333
name:xal,1,0.0,-83.3333
name:yi,1,0.0,-83.3333
name:yo,1,0.0,-83.3333
name:zea,1,0.0,-83.3333
name:zh-min-nan,1,0.0,-83.3333
name:zh_pinyin,1,0.0,-90.0
name:zu,1,0.0,-83.3333
name_2,1,0.0,-83.3333
note2,1,0.0,-80.0
note:2,1,0.0,-80.0
number:cow_ox,1,0.0,-95.2381
number:poultry,1,0.0,-96.6667
number_of_rooms,1,0.0,-80.0
obsolete_boundary,1,0.0,-80.0
official_name:be,1,0.0,-90.9091
official_name:br,1,0.0,-95.8333
official_name:fr,1,0.0,-96.875
official_name:it,1,0.0,-96.9697
official_name:lt,1,0.0,-88.8889
official_name:lv,1,0.0,-85.7143
official_name:ne,1,0.0,-83.3333
official_name:pl,1,0.0,-96.875
official_name:ru,1,0.0,-83.3333
official_name:sr,1,0.0,-83.3333
official_name:sv,1,0.0,-95.6522
official_name:vi,1,0.0,-83.3333
old_natural,1,0.0,-80.0
outer,1,0.0,-80.0
owner,1,0.0,-87.5
perimiter,1,0.0,-80.0
poidp:source_20150501,1,0.0,-80.0
population:date,1,0.0,-80.0
poultry,1,0.0,-97.8261
proposed,1,0.0,-87.5
q,1,0.0,-80.0
quality_bricks_percent,1,0.0,-98.5507
quantity_fuel,1,0.0,-98.6842
residental,1,0.0,-80.0
road:source_20150514,1,0.0,-80.0
s,1,0.0,-83.3333
service:bicycle:cleaning,1,0.0,-85.7143
service:bicycle:second_hand,1,0.0,-83.3333
sorey,1,0.0,-80.0
souece,1,0.0,-80.0
sour,1,0.0,-80.0
source:tracer,1,0.0,-83.3333
source:zoomlevel,1,0.0,-83.3333
source=DigitalGlobe,1,0.0,-80.0
sourceS,1,0.0,-80.0
sourceig,1,0.0,-80.0
temp:dam,1,0.0,-80.0
temp:hydropower_station,1,0.0,-80.0
temp:reservoir,1,0.0,-80.0
tractype,1,0.0,-83.3333
wall:material,1,0.0,-80.0
water_quality,1,0.0,-80.0
widow,1,0.0,-95.0
wifi,1,0.0,-85.7143
workers:edu_SLC,1,0.0,-97.2973
workers:edu_informal,1,0.0,-98.4375
year_of_construction,1,0.0,-80.0
},1,0.0,-80.0
• brownfield:source_20150501,1,0.0,-80.0
