key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
parking:right:orientation,17,0.0035,142.8571,142.8571
ref:enel:serial_number,17,0.0035,-34.6154,-34.6154
school:trust,17,0.0035,1600.0,1600.0
school:type,17,0.0035,1600.0,1600.0
smoothness:date,17,0.0035,-91.1458,-91.1458
source:geometry,17,0.0035,13.3333,13.3333
contact:whatsapp,16,0.0033,700.0,700.0
emergency_ward_entrance,16,0.0033,77.7778,77.7778
fuel:electricity,16,0.0033,23.0769,23.0769
map_size,16,0.0033,220.0,220.0
oneway:motorcycle,16,0.0033,128.5714,128.5714
payment:apple_pay,16,0.0033,300.0,300.0
payment:maestro,16,0.0033,166.6667,166.6667
payment:paypal,16,0.0033,1500.0,1500.0
toilets:access,16,0.0033,700.0,700.0
toilets:disposal,16,0.0033,-33.3333,-33.3333
tower:construction,16,0.0033,-5.8824,-5.8824
addr:suburb,15,0.0031,275.0,275.0
artist:wikipedia,15,0.0031,1400.0,1400.0
automated,15,0.0031,7.1429,7.1429
cave:ref,15,0.0031,1400.0,1400.0
contact:postcode,15,0.0031,-21.0526,-21.0526
map_type,15,0.0031,275.0,275.0
museum,15,0.0031,36.3636,36.3636
name:signed,15,0.0031,200.0,200.0
parking:lane:both,15,0.0031,-69.3878,-69.3878
parking:left:orientation,15,0.0031,275.0,275.0
private,15,0.0031,1400.0,1400.0
ref:ABI,15,0.0031,275.0,275.0
ref:CAB,15,0.0031,275.0,275.0
swimming_pool,15,0.0031,-21.0526,-21.0526
architect:wikidata,14,0.0028,366.6667,366.6667
athletics,14,0.0028,1300.0,1300.0
buried:wikidata,14,0.0028,-87.5,-87.5
check_date:smoothness,14,0.0028,1300.0,1300.0
est_width,14,0.0028,1300.0,1300.0
fire_hydrant:position,14,0.0028,-44.0,-44.0
fuel:biodiesel,14,0.0028,7.6923,7.6923
grades,14,0.0028,75.0,75.0
payment:app,14,0.0028,-26.3158,-26.3158
payment:google_pay,14,0.0028,100.0,100.0
playground:theme,14,0.0028,600.0,600.0
recycling:cardboard,14,0.0028,-53.3333,-53.3333
recycling:plastic_bottles,14,0.0028,-56.25,-56.25
seamark:type,14,0.0028,-77.4194,-77.4194
service:vehicle:car_repair,14,0.0028,-33.3333,-33.3333
service:vehicle:tyres,14,0.0028,180.0,180.0
advertising,13,0.0026,-13.3333,-13.3333
bus:lanes,13,0.0026,160.0,160.0
contact:fax,13,0.0026,0.0,0.0
destination:symbol,13,0.0026,-53.5714,-53.5714
display,13,0.0026,225.0,225.0
disused,13,0.0026,85.7143,85.7143
fuel:1_25,13,0.0026,8.3333,8.3333
fuel:biogas,13,0.0026,0.0,0.0
fuel:e10,13,0.0026,8.3333,8.3333
fuel:e85,13,0.0026,8.3333,8.3333
fuel:octane_91,13,0.0026,-7.1429,-7.1429
length,13,0.0026,116.6667,116.6667
military,13,0.0026,30.0,30.0
name:etymology:description,13,0.0026,8.3333,8.3333
opening_hours:covid19,13,0.0026,-7.1429,-7.1429
parking:lane:left,13,0.0026,8.3333,8.3333
payment:cards,13,0.0026,0.0,0.0
service_times,13,0.0026,-23.5294,-23.5294
abandoned:amenity,12,0.0024,20.0,20.0
basin,12,0.0024,50.0,50.0
city:left,12,0.0024,200.0,200.0
contact:city,12,0.0024,-7.6923,-7.6923
defibrillator:location,12,0.0024,200.0,200.0
diet:gluten_free,12,0.0024,140.0,140.0
